12-02 19:26 bfx_data_server.server DEBUG    Computing hashes for static assets...
12-02 19:26 bfx_data_server.server DEBUG    Computing hashes for /c/Users/twguy/WSL_projects/tom_projects/WSGI_Flask/Bfx_Data_Server/bfx_data_server/server/static/dist/css/main.css
12-02 19:26 bfx_data_server.server DEBUG    Computing hashes for /c/Users/twguy/WSL_projects/tom_projects/WSGI_Flask/Bfx_Data_Server/bfx_data_server/server/static/dist/js/bootstrap.bundle.js
12-02 19:26 bfx_data_server.server DEBUG    Computing hashes for /c/Users/twguy/WSL_projects/tom_projects/WSGI_Flask/Bfx_Data_Server/bfx_data_server/server/static/dist/js/bundle.js
12-02 19:26 bfx_data_server.server DEBUG    Computing hashes for /c/Users/twguy/WSL_projects/tom_projects/WSGI_Flask/Bfx_Data_Server/bfx_data_server/server/static/dist/js/jquery.min.js
12-02 19:26 bfx_data_server.server DEBUG    Computing hashes for /c/Users/twguy/WSL_projects/tom_projects/WSGI_Flask/Bfx_Data_Server/bfx_data_server/server/static/dist/js/main.js
12-02 19:26 bfx_data_server.server DEBUG    Computing hashes for /c/Users/twguy/WSL_projects/tom_projects/WSGI_Flask/Bfx_Data_Server/bfx_data_server/server/static/src/js/index.js
12-02 19:26 bfx_data_server.server DEBUG    Computing hashes for /c/Users/twguy/WSL_projects/tom_projects/WSGI_Flask/Bfx_Data_Server/bfx_data_server/server/static/src/js/site.js
12-02 19:26 bfx_data_server.server INFO     Hashes generated for all static assets.
12-02 19:48 werkzeug     INFO     127.0.0.1 - - [02/Dec/2019 19:48:32] "GET /static/dist/js/jquery.min.js%3Fq%3D220af HTTP/1.1" 304 -
12-02 19:48 werkzeug     INFO     127.0.0.1 - - [02/Dec/2019 19:48:32] "GET /static/dist/js/bundle.js%3Fq%3D8acb7 HTTP/1.1" 304 -
12-02 19:48 werkzeug     INFO     127.0.0.1 - - [02/Dec/2019 19:48:32] "GET /static/dist/js/bootstrap.bundle.js%3Fq%3D1a94a HTTP/1.1" 304 -
12-02 19:48 werkzeug     INFO     127.0.0.1 - - [02/Dec/2019 19:48:32] "GET /static/dist/js/main.js%3Fq%3Df1a51 HTTP/1.1" 304 -
12-02 19:48 werkzeug     INFO     127.0.0.1 - - [02/Dec/2019 19:48:32] "GET /static/dist/img/TwgLogo.png HTTP/1.1" 304 -
12-02 19:49 werkzeug     INFO     127.0.0.1 - - [02/Dec/2019 19:49:11] "GET / HTTP/1.1" 500 -
12-02 19:49 werkzeug     INFO     127.0.0.1 - - [02/Dec/2019 19:49:11] "GET /?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
12-02 19:49 werkzeug     INFO     127.0.0.1 - - [02/Dec/2019 19:49:11] "GET /?__debugger__=yes&cmd=resource&f=jquery.js HTTP/1.1" 200 -
12-02 19:49 werkzeug     INFO     127.0.0.1 - - [02/Dec/2019 19:49:11] "GET /?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
12-02 19:49 werkzeug     INFO     127.0.0.1 - - [02/Dec/2019 19:49:11] "GET /?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
